ts,Ts,HighMomentum,LowMomentum,FastMomentum,Volatility,NormClose,NormVolume,Delta,HighAlpha,HighBeta,LowAlpha,LowBeta,LowGamma,Meditation,MidGamma,Theta
2022-01-30 04:18:00+00:00,1643516280,1.0105045341226508,0.9896046640386712,1.0001337874689176,0.0006879982252273,0.4465736695337299,0.0678034815502074,5272.0,5376.0,3903.0,728.0,5175.0,1621.0,37.0,1616.0,4173.0
2022-01-30 04:19:00+00:00,1643516340,1.0061871153663833,0.990541268628836,0.9990180568356546,0.0005924141772047,0.0723927796348514,0.0362115571195682,14186.0,2266.0,4650.0,2435.0,4332.0,5232.0,63.0,2415.0,14232.0
2022-01-30 04:20:00+00:00,1643516400,1.0036873218403022,0.9878236253234096,1.000499377916592,0.0006074783105249,0.1237009604169519,0.037971402492007,18271.0,2498.0,3628.0,2099.0,3356.0,4023.0,51.0,1361.0,6190.0
2022-01-30 04:21:00+00:00,1643516460,1.0054312557608744,0.989866324185963,1.0038111917765795,0.0005197599776245,0.9195814131183666,0.3608492299224532,4742.0,6515.0,3876.0,838.0,3937.0,2967.0,64.0,1852.0,16255.0
2022-01-30 04:22:00+00:00,1643516520,1.0118708787010362,0.9868726759692474,1.0012725286245872,0.000557183880774,0.9540895500770936,1.0,429431.0,19086.0,4763.0,41154.0,4451.0,5826.0,54.0,1861.0,36888.0
2022-01-30 04:23:00+00:00,1643516580,1.0131301228465712,0.9868981531104436,0.9997478695816416,0.0005360552000014,0.7916649098172591,0.4335555520912185,9735.0,2831.0,7082.0,991.0,10638.0,4510.0,35.0,3010.0,7047.0
2022-01-30 04:24:00+00:00,1643516640,1.001082561914682,0.9954058370003004,0.9989995604741616,0.0004386128016323,0.1886127937044773,0.0740205006632987,11165.0,3794.0,3802.0,5797.0,3769.0,2104.0,41.0,1193.0,18280.0
2022-01-30 04:25:00+00:00,1643516700,1.00533534611841,0.9926349054571886,0.999578639807922,0.0004640265254221,0.94826047858644,0.1772105774912874,72152.0,14929.0,5739.0,15146.0,10018.0,2203.0,61.0,1236.0,20092.0
2022-01-30 04:26:00+00:00,1643516760,1.00800694101793,0.9889463969809036,1.0014538656263203,0.0004457938319672,0.9685784248175604,0.1048108330709052,11469.0,3880.0,2509.0,25254.0,7132.0,1641.0,75.0,950.0,10126.0
2022-01-30 04:27:00+00:00,1643516820,1.009313302690842,0.9907040561864882,1.004967727347245,0.0005697811475482,0.9510559901339736,0.0555495614525197,21077.0,3205.0,2452.0,829.0,3483.0,4449.0,53.0,2327.0,9860.0
2022-01-30 04:28:00+00:00,1643516880,1.0066968528734752,0.9922805073917392,1.000231663373259,0.0005610619704478,0.7541183475393116,0.0596155085444422,13644.0,4130.0,3022.0,3979.0,2452.0,1231.0,70.0,837.0,5864.0
2022-01-30 04:29:00+00:00,1643516940,1.0083325145885231,0.9902851404730686,0.9984139652093332,0.0005782599577227,0.0250664668278392,0.1591276343458274,4381.0,6661.0,3527.0,41.0,3773.0,1261.0,61.0,1111.0,5907.0
2022-01-30 04:30:00+00:00,1643517000,1.002117434820251,0.9885129941825131,1.0000106419267665,0.0005508018134619,0.6794685980424351,0.1433868905358212,155692.0,1727.0,3705.0,4042.0,7328.0,1164.0,29.0,995.0,102753.0
2022-01-30 04:31:00+00:00,1643517060,1.0012072480542749,0.9881648628296672,0.9993741754954112,0.0007282136259162,0.179583129363051,0.024347319375887,5256.0,3518.0,3115.0,2833.0,4431.0,2499.0,56.0,917.0,17032.0
2022-01-30 04:32:00+00:00,1643517120,1.0074894242022083,0.9881648628296672,0.9988788701561322,0.000662551976722,0.2177606127684498,0.1188691930431277,9086.0,9182.0,4220.0,7077.0,574.0,3356.0,61.0,693.0,21299.0
2022-01-30 04:33:00+00:00,1643517180,1.0055716725588053,0.9821693290290536,0.9959612969964442,0.0005819721101602,0.0580573522883979,0.0523388520860195,5778.0,4915.0,2895.0,1906.0,1487.0,2067.0,90.0,1318.0,5908.0
2022-01-30 04:34:00+00:00,1643517240,1.0040950660639858,0.9810816174232568,0.9986276882643548,0.0006688713287005,0.0735016428460025,0.0608020461682487,12878.0,2477.0,2131.0,2938.0,3251.0,1689.0,56.0,926.0,3989.0
2022-01-30 04:35:00+00:00,1643517300,1.0009259206910543,0.9843526898398196,1.0004175790391352,0.0006913609671651,0.3507368908271961,0.0083983398387209,25396.0,6830.0,2856.0,8876.0,5168.0,6692.0,54.0,2440.0,39109.0
2022-01-30 04:36:00+00:00,1643517360,1.0022011388311567,0.9927854625722272,1.001900896154868,0.0005548875115562,0.9838204589681808,0.1594747547866337,13863.0,2978.0,2209.0,2418.0,3233.0,5854.0,56.0,927.0,7550.0
2022-01-30 04:37:00+00:00,1643517420,1.0045581016202676,0.992104452386116,0.9953337182715593,0.0004636562091558,0.4272396060749402,0.0200615666741272,11132.0,3185.0,2050.0,3392.0,10718.0,2193.0,67.0,912.0,12023.0
2022-01-30 04:38:00+00:00,1643517480,1.0061161431588903,0.979220422100808,0.999872177947048,0.0007259553466575,0.0899500517209995,0.2522844014161816,25974.0,4807.0,3160.0,8906.0,3765.0,2168.0,63.0,721.0,13081.0
2022-01-30 04:39:00+00:00,1643517540,1.001369979302382,0.8968148674165312,0.960623107683922,0.0038776976720396,0.0962638390249821,0.3894474954143142,5851.0,1500.0,8430.0,6364.0,2254.0,3510.0,64.0,1484.0,3427.0
2022-01-30 04:40:00+00:00,1643517600,1.0023350431177205,0.9087213937553904,1.0021445745676758,0.004440944822141,0.395779323868276,0.0105103145506359,775.0,3096.0,8417.0,1382.0,3762.0,4677.0,44.0,1099.0,7626.0
2022-01-30 04:41:00+00:00,1643517660,1.0025224576746534,0.9112171119478214,1.0040115201750586,0.0049084602981242,0.4496137596957407,0.0052540832611641,6666.0,7876.0,14444.0,2893.0,3470.0,12109.0,57.0,2903.0,17009.0
2022-01-30 04:42:00+00:00,1643517720,1.0206609382843312,0.95724651352263,1.005360892399732,0.0026234243812065,0.8673774014069576,0.4337763141366772,284659.0,3839.0,8176.0,14066.0,7930.0,8304.0,50.0,4159.0,84746.0
2022-01-30 04:43:00+00:00,1643517780,1.035787853019612,0.965067373628145,0.9968171762938765,0.00186315251805,0.5970084912252829,0.0482038122615451,16212.0,937.0,9169.0,953.0,3497.0,4713.0,30.0,2020.0,26824.0
2022-01-30 04:44:00+00:00,1643517840,1.024981300941896,0.9725853825977258,1.0011646137034422,0.0018105081464907,0.8784210071470282,0.0836537995020327,490206.0,6441.0,4011.0,3061.0,7147.0,2820.0,29.0,2536.0,142276.0
2022-01-30 04:45:00+00:00,1643517900,1.009859892668792,0.9828165583096904,0.9919112108135888,0.0014154678264741,0.3729387488666029,0.2087563877495182,3623.0,9929.0,3278.0,275.0,4292.0,4911.0,64.0,1020.0,14600.0
2022-01-30 04:46:00+00:00,1643517960,1.008463418999356,0.9799054825154728,1.007303394438131,0.0010930402377584,0.5256377828072564,0.2580150060666454,13615.0,767.0,4781.0,1867.0,5018.0,4118.0,38.0,4001.0,19260.0
2022-01-30 04:47:00+00:00,1643518020,1.0050926846627,0.9816500163162848,1.0064115204566555,0.0010222394688251,0.7817866698326114,0.0794740486170416,3127.0,1623.0,9817.0,5848.0,3307.0,4981.0,51.0,1887.0,10314.0
2022-01-30 04:48:00+00:00,1643518080,1.011482408626715,0.9819418067242524,1.001836477262745,0.0010293139555594,0.7699543637864976,0.0977634865357935,22855.0,2188.0,8074.0,5731.0,4838.0,4495.0,47.0,3439.0,12271.0
2022-01-30 04:49:00+00:00,1643518140,1.0144350195572305,0.9812728265288808,1.0022125242170652,0.0009307850449309,0.908269866000554,0.1229637739110914,2259088.0,29486.0,64484.0,49307.0,92031.0,33018.0,44.0,26585.0,989976.0
2022-01-30 04:50:00+00:00,1643518200,1.0089632901167158,0.9893893408592218,0.9995230260402672,0.0007726521454576,0.8160700186238925,0.0733350410286112,43522.0,2701.0,22693.0,7278.0,11920.0,5309.0,61.0,3526.0,19711.0
2022-02-01 19:54:00+00:00,1643745240,1.0089381303969511,0.9905712192113244,0.9989151257470932,0.0007224737890178,0.1523630386345584,0.0567767577031325,342777.0,18733.0,6885.0,7279.0,8569.0,2496.0,14.0,953.0,63234.0
2022-02-01 19:55:00+00:00,1643745300,1.0032747528450163,0.985010869927478,1.0029880928543395,0.0007813789890742,0.3423432297412053,0.1531850780401737,6243.0,12513.0,4549.0,650.0,6140.0,3657.0,53.0,737.0,22788.0
2022-02-01 19:56:00+00:00,1643745360,1.001469066743628,0.9859311307773486,1.0036470952274328,0.0007719783523174,0.5440689280112585,0.2711278521329076,114418.0,10556.0,11058.0,19199.0,8936.0,2347.0,56.0,1474.0,30464.0
2022-02-01 19:57:00+00:00,1643745420,1.006095832125702,0.9901189375516,1.0027851570374398,0.0007490431797577,1.0,0.142069855178329,2365.0,1980.0,3768.0,4296.0,1961.0,5652.0,53.0,1122.0,18589.0
2022-02-02 06:46:00+00:00,1643784360,1.0052838718515,0.989818540866265,0.9986082950523424,0.0006583065903432,0.7312741723389574,0.1248086957275026,5489.0,1929.0,3023.0,2643.0,3799.0,2648.0,47.0,777.0,7034.0
2022-02-02 06:47:00+00:00,1643784420,1.005614957375771,0.991143035203972,1.0007552769208177,0.0006073908106783,0.7001310472762031,0.058690567818432,7008.0,6178.0,1527.0,2788.0,1221.0,1352.0,83.0,778.0,9120.0
2022-02-02 06:48:00+00:00,1643784480,1.0041068433516698,0.9888518326893768,1.0006496416984094,0.0006882046348675,0.9140262556528996,0.3249916175267348,1376.0,878.0,2575.0,4604.0,2461.0,1371.0,88.0,941.0,4288.0
2022-02-02 06:49:00+00:00,1643784540,1.0142396078855642,0.9859603117696714,1.0001740370324874,0.0005808451455307,0.9262780629368924,0.0286067609526779,5772.0,1520.0,2693.0,4012.0,2041.0,1626.0,64.0,1781.0,7122.0
2022-02-02 06:50:00+00:00,1643784600,1.0220624018272155,0.9774473788432791,0.999096138037368,0.0008897321657045,0.7126671970066589,0.1292761930520718,6368.0,3086.0,4764.0,974.0,5756.0,8450.0,48.0,1018.0,6648.0
2022-02-02 06:51:00+00:00,1643784660,1.0202660094468836,0.9785945582420704,1.0028977185226478,0.0009935313277534,0.8844850370161793,0.0554711233998346,3609.0,387.0,8971.0,2340.0,3185.0,1391.0,47.0,2542.0,6161.0
2022-02-02 06:52:00+00:00,1643784720,1.018977624273885,0.9813124251387252,0.9993679723581252,0.0010639088455281,0.6939928909206489,0.0486947130613376,4900.0,1045.0,5927.0,1171.0,3466.0,4941.0,57.0,795.0,2658.0
2022-02-02 06:53:00+00:00,1643784780,1.010123462691688,0.9848616756928704,1.0050171794328346,0.0007197835479263,0.9359197571251064,0.1362230522950762,5435.0,1318.0,7342.0,378.0,3876.0,7000.0,43.0,2554.0,4074.0
2022-02-02 06:54:00+00:00,1643784840,1.01409594153335,0.976218878569816,0.99936521560304,0.0011062062348587,0.0627857320647747,0.1202848614154332,1878.0,2239.0,8479.0,1881.0,2371.0,2949.0,41.0,1145.0,13802.0
2022-02-02 06:55:00+00:00,1643784900,1.0098342857216682,0.976218878569816,1.0022729042942409,0.0012963190463802,0.3862753252038713,0.0165875776908736,6239.0,1056.0,4832.0,1187.0,2450.0,2505.0,37.0,1167.0,4061.0
2022-02-02 06:56:00+00:00,1643784960,0.9992750764181968,0.9845240041050692,0.996972965023862,0.0013042398361646,0.7641733852544823,0.1543658151175847,3989.0,3582.0,4283.0,4506.0,1301.0,3235.0,53.0,1510.0,7459.0
2022-02-02 06:57:00+00:00,1643785020,1.0099391335695018,0.9858528249329126,1.001214811474202,0.000828382845124,0.9731535434062109,0.0475679193988719,10515.0,2564.0,3503.0,2559.0,1000.0,2959.0,37.0,1690.0,13157.0
2022-02-02 06:58:00+00:00,1643785080,1.0056682938278654,0.994026255657388,0.9959005587169129,0.000824300890391,0.2328128435067839,1.0,1076.0,1087.0,3200.0,1372.0,2269.0,4033.0,41.0,4948.0,9685.0
2022-02-02 06:59:00+00:00,1643785140,1.0067563452705717,0.986345795886216,1.0021351482486989,0.0007771588127502,0.4432440858476761,0.0918975531796101,82274.0,3296.0,4182.0,13039.0,3548.0,1225.0,38.0,1882.0,114451.0
2022-02-02 07:00:00+00:00,1643785200,1.0024061206590815,0.9848075070997104,0.9999121958565294,0.0008068270301962,0.0930207763110243,0.0879581125665864,4040.0,5015.0,5614.0,877.0,4267.0,6801.0,40.0,1306.0,10397.0
