ts,y
2022-02-03 19:59:00+00:00,-1
2022-02-03 20:00:00+00:00,-1
2022-02-03 20:01:00+00:00,-1
2022-02-03 20:02:00+00:00,1
2022-02-03 20:03:00+00:00,1
2022-02-03 20:04:00+00:00,1
2022-02-03 20:05:00+00:00,1
2022-02-03 20:06:00+00:00,1
2022-02-16 07:07:00+00:00,-1
2022-02-16 07:08:00+00:00,-1
2022-02-16 07:09:00+00:00,-1
2022-02-16 07:10:00+00:00,-1
2022-02-16 07:11:00+00:00,-1
2022-02-16 07:12:00+00:00,1
2022-02-16 07:13:00+00:00,1
2022-02-16 07:14:00+00:00,-1
2022-02-16 07:15:00+00:00,-1
2022-02-16 07:16:00+00:00,-1
2022-02-16 07:17:00+00:00,-1
2022-02-16 07:18:00+00:00,-1
2022-02-16 07:19:00+00:00,-1
2022-02-16 07:20:00+00:00,-1
2022-02-16 07:21:00+00:00,-1
2022-02-16 15:46:00+00:00,-1
2022-02-16 15:47:00+00:00,-1
2022-02-16 15:48:00+00:00,-1
2022-02-16 15:49:00+00:00,-1
2022-02-16 15:50:00+00:00,-1
2022-02-16 15:51:00+00:00,-1
2022-02-16 15:52:00+00:00,1
2022-02-16 15:53:00+00:00,1
2022-02-16 15:54:00+00:00,-1
2022-02-16 15:55:00+00:00,-1
2022-02-16 15:56:00+00:00,-1
2022-02-16 15:57:00+00:00,1
2022-02-16 15:58:00+00:00,1
2022-02-16 15:59:00+00:00,1
2022-02-16 16:00:00+00:00,-1
2022-02-16 16:01:00+00:00,-1
2022-02-16 16:02:00+00:00,-1
2022-02-16 16:03:00+00:00,1
2022-02-16 16:04:00+00:00,1
2022-02-16 16:05:00+00:00,-1
2022-02-16 16:06:00+00:00,1
2022-02-16 16:07:00+00:00,1
2022-02-16 16:08:00+00:00,1
2022-02-16 16:09:00+00:00,1
2022-02-16 16:10:00+00:00,1
2022-02-17 02:58:00+00:00,1
2022-02-17 02:59:00+00:00,-1
2022-02-17 03:00:00+00:00,-1
2022-02-17 03:01:00+00:00,-1
2022-02-17 03:02:00+00:00,-1
2022-02-17 03:03:00+00:00,-1
2022-02-17 03:04:00+00:00,-1
2022-02-17 03:05:00+00:00,-1
2022-02-17 03:06:00+00:00,-1
2022-02-17 03:07:00+00:00,-1
2022-02-17 03:08:00+00:00,-1
2022-02-17 03:09:00+00:00,-1
2022-02-17 03:10:00+00:00,-1
2022-02-17 03:33:00+00:00,-1
2022-02-17 03:34:00+00:00,-1
2022-02-17 03:35:00+00:00,-1
2022-02-17 03:36:00+00:00,-1
2022-02-17 03:37:00+00:00,-1
2022-02-17 03:38:00+00:00,-1
2022-02-17 03:39:00+00:00,-1
2022-02-17 03:40:00+00:00,-1
2022-02-17 03:41:00+00:00,1
2022-02-17 03:42:00+00:00,1
2022-02-17 03:43:00+00:00,1
2022-02-17 03:44:00+00:00,1
2022-02-17 03:45:00+00:00,1
2022-02-17 03:46:00+00:00,1
2022-02-17 03:47:00+00:00,1
2022-02-17 03:48:00+00:00,-1
2022-02-17 03:49:00+00:00,-1
2022-02-17 03:50:00+00:00,-1
2022-02-17 03:51:00+00:00,-1
2022-02-17 03:52:00+00:00,-1
2022-02-17 03:53:00+00:00,-1
2022-02-17 03:54:00+00:00,-1
2022-02-17 03:55:00+00:00,-1
2022-02-22 01:24:00+00:00,1
2022-02-22 01:25:00+00:00,-1
2022-02-22 01:26:00+00:00,1
2022-02-22 01:27:00+00:00,1
2022-02-22 01:28:00+00:00,1
2022-02-22 01:29:00+00:00,1
2022-02-22 01:30:00+00:00,1
2022-02-22 01:31:00+00:00,1
2022-02-22 01:32:00+00:00,1
2022-02-23 02:31:00+00:00,-1
2022-02-23 02:32:00+00:00,1
2022-02-23 02:33:00+00:00,1
2022-02-23 02:34:00+00:00,-1
2022-02-23 02:36:00+00:00,1
2022-02-23 02:37:00+00:00,-1
2022-02-23 02:38:00+00:00,-1
